"activity_frame.subject_id" "activity_frame.activity" "mean_mean" "std_mean"
"1" 1 "LAYING" -0.592930838046188 0.612487675674677
"2" 1 "SITTING" -0.622274128549914 0.583445734747872
"3" 1 "STANDING" -0.634467685094752 0.595280659366016
"4" 1 "WALKING" -0.314419821531769 0.458695158696053
"5" 1 "WALKING_DOWNSTAIRS" -0.28906563103777 0.478573663833775
"6" 1 "WALKING_UPSTAIRS" -0.400222207424325 0.498040322252433
"7" 3 "LAYING" -0.623181343756818 0.618883770612872
"8" 3 "SITTING" -0.608135079130114 0.588996641106724
"9" 3 "STANDING" -0.610388335736771 0.594213813743462
"10" 3 "WALKING" -0.378386765670697 0.494248380381073
"11" 3 "WALKING_DOWNSTAIRS" -0.338633701117266 0.511289756138847
"12" 3 "WALKING_UPSTAIRS" -0.413886484699919 0.513756743151687
"13" 5 "LAYING" -0.610010935337862 0.655401702499166
"14" 5 "SITTING" -0.608801637003164 0.613086030641275
"15" 5 "STANDING" -0.598861247877848 0.6230361998435
"16" 5 "WALKING" -0.366533221020782 0.525454122871246
"17" 5 "WALKING_DOWNSTAIRS" -0.281637276077392 0.546127591053714
"18" 5 "WALKING_UPSTAIRS" -0.342654163072118 0.530868858632222
"19" 6 "LAYING" -0.595906612488606 0.662237146972257
"20" 6 "SITTING" -0.605429252709748 0.6278521029039
"21" 6 "STANDING" -0.607479614722584 0.639294233229485
"22" 6 "WALKING" -0.323880988232982 0.53673021959114
"23" 6 "WALKING_DOWNSTAIRS" -0.182229982833903 0.560404651940606
"24" 6 "WALKING_UPSTAIRS" -0.315258175510739 0.544185491811841
"25" 7 "LAYING" -0.602980700106627 0.688608174117769
"26" 7 "SITTING" -0.607061084597262 0.654217869738056
"27" 7 "STANDING" -0.610124599669902 0.662171879598781
"28" 7 "WALKING" -0.291465141889244 0.554475860640163
"29" 7 "WALKING_DOWNSTAIRS" -0.298240948679485 0.581334634734296
"30" 7 "WALKING_UPSTAIRS" -0.409904178536896 0.580469150263936
"31" 8 "LAYING" -0.59999507693573 0.711639715733464
"32" 8 "SITTING" -0.614146613657268 0.677357715397744
"33" 8 "STANDING" -0.614101506910444 0.690605687858879
"34" 8 "WALKING" -0.282704858660008 0.580122440230428
"35" 8 "WALKING_DOWNSTAIRS" -0.173294206398941 0.589048414028902
"36" 8 "WALKING_UPSTAIRS" -0.274573631562476 0.588641809097849
"37" 11 "LAYING" -0.611071493073373 0.780322072899523
"38" 11 "SITTING" -0.607179009726944 0.751525745652886
"39" 11 "STANDING" -0.617652000897544 0.764065230407135
"40" 11 "WALKING" -0.408519738186092 0.680611102192603
"41" 11 "WALKING_DOWNSTAIRS" -0.322611880093581 0.68945812465744
"42" 11 "WALKING_UPSTAIRS" -0.410638210355964 0.697482833897773
"43" 14 "LAYING" -0.590599497341791 0.858804518647231
"44" 14 "SITTING" -0.605685902341726 0.834517892485995
"45" 14 "STANDING" -0.597771927467435 0.846544505420666
"46" 14 "WALKING" -0.357489384628208 0.762772010468468
"47" 14 "WALKING_DOWNSTAIRS" -0.17246051107949 0.775303511943718
"48" 14 "WALKING_UPSTAIRS" -0.256053014778218 0.79554584353736
"49" 15 "LAYING" -0.600309850299157 0.890777049978233
"50" 15 "SITTING" -0.605469587793086 0.871742321219964
"51" 15 "STANDING" -0.602239446305127 0.878891629318088
"52" 15 "WALKING" -0.36071979479442 0.803139145207409
"53" 15 "WALKING_DOWNSTAIRS" -0.247260268336114 0.813698305845887
"54" 15 "WALKING_UPSTAIRS" -0.362126876332348 0.813491982454169
"55" 16 "LAYING" -0.594570749408967 0.927678667366531
"56" 16 "SITTING" -0.60444850270196 0.906149221529309
"57" 16 "STANDING" -0.606941477162674 0.913599847849265
"58" 16 "WALKING" -0.399635054175209 0.842591907676375
"59" 16 "WALKING_DOWNSTAIRS" -0.304127973899024 0.850633059397749
"60" 16 "WALKING_UPSTAIRS" -0.406611295636582 0.851500239908011
"61" 17 "LAYING" -0.586786273515109 0.961539085577941
"62" 17 "SITTING" -0.604120478706619 0.942893604411198
"63" 17 "STANDING" -0.603308551429471 0.949252405364656
"64" 17 "WALKING" -0.3536929637291 0.872717148932116
"65" 17 "WALKING_DOWNSTAIRS" -0.328373202050365 0.887551418597582
"66" 17 "WALKING_UPSTAIRS" -0.366257532216845 0.881426841235632
"67" 19 "LAYING" -0.586345580322362 1.02939704177032
"68" 19 "SITTING" -0.59586415617005 1.0024823560462
"69" 19 "STANDING" -0.595233902556012 1.01101832302003
"70" 19 "WALKING" -0.201882439219989 0.924141951940038
"71" 19 "WALKING_DOWNSTAIRS" -0.0389518460774084 0.951945626811579
"72" 19 "WALKING_UPSTAIRS" -0.278395466034168 0.938665996947317
"73" 21 "LAYING" -0.580909443778578 1.09668109180663
"74" 21 "SITTING" -0.598029201933036 1.07436309502893
"75" 21 "STANDING" -0.590001012770033 1.07947763105067
